EAN;CODIGO;DESCRICAO
;1;AAS INFANTIL 120COMP FRASCO 100MG.
7897595900593;2;AAS INFANTIL 10 COMPRIMIDOS
7891058019839;2;AAS INFANTIL 10 COMPRIMIDOS
7896094922440;2;AAS INFANTIL 10 COMPRIMIDOS
7896094928060;2;AAS INFANTIL 10 COMPRIMIDOS
7896094932036;2;AAS INFANTIL 10 COMPRIMIDOS
7896094928107;3;AAS INFANTIL C/30 COMP
7897595900029;3;AAS INFANTIL C/30 COMP
7897595900012;4;SE FOR
7897595900579;5;AAS ADULTO  50X10 COMP
7897595900586;6;AAS ADULTO 50X4 COMP
;7;A CURITYBINA LIPQ  5ML
;8;CLARIDERM GEL 30G
7897076911131;9;AXETILCEFUROXIMA 250/5ML 50ML
;10;BANHO DE CREME HENNA TUTBOO
7898049799008;11;SEDALIVE 100MG INF C/ 10 COMP
;12;AASEDATIL 500MG ADUL COMP
7896331702545;13;ABC 10MG CREME TB 20G
7896331702583;14;ABC 10MG SPRAY FR 30G
;15;ABCALCIUM B12 SUS ORAL FR 200ML
7894164000388;16;ABCLER C/1 FLAC 10ML
;17;ABEDOSEC 10MG FR 14 CAP
;18;ABEDOSEC 20MG FR 14 CAP
;19;ABEDOSEC 20MG FR 7 CAP
;20;ABELCET 5MG INJ 1FA 20ML+AG
;21;ABELCET 5MG INJ CX 10FA X 20ML+AG
7894164000050;22;ABERALGINA 500MG SOL GTS FR 10ML
7894164000463;23;ABERALGINA 500MG SOL GTS FR 20ML
;24;ABFOR GERIN FR CX 30 COMP
;25;ABIFLAN 15MG SOL GTS FR 20ML
;26;ABIFLAN 50MG CX 20 COMP
;27;ABILIFY 10MG C/10 COMP      C1
;28;ABILIFY 15MG C/10 COMP        C1
;29;ABILIFY 15MG C/30 COMP        C1
;30;ABILIFY 20MG C/10 COMP        C1
;31;ABILIFY 20MG C/30 COMP        C1
;32;ABILIFY 30MG C/30 COMP        C1
7896241225530;33;ABLOK 100MG C/30 COMP
7896241221853;34;ABLOK 25MG C/30 COMP
7896241225523;35;ABLOK 50MG C/30 COMP
7896241225547;36;ABLOK PLUS 100/25MG C/30 COMP
7896241225127;37;ABLOK PLUS 50/12,5MG 30 COMP
